John McGinn,28,Left,Midfielders,2692,0.0299987793,0.08001708984,0.08996582031,2.2109375,1.400390625,23.59375,34.375,161.5,12.5,0.6000976563,3.810546875,0.669921875,4.6796875,2.669921875,1.870117188,0.330078125,2.2109375,0.7998046875,45.0625,12.96875,1.500976563,2.33984375,1.500976563,60.125,1.139648438,1.169921875,0.2700195313,5.8828125,0.740234375,0,34,43,43,53,70,23,17,50,12.0078125,19,58.96875,39,53,55,50,78,57,35,13,42,49,72,88,33,45,51,61,40,40
Emi Buendía,26,Right,Att Mid / Wingers,2412,0.1899414063,0.2399902344,0.2099609375,5.109375,1.830078125,15.8984375,38.0625,115.3125,16.1875,1.530273438,3.130859375,1.530273438,5.1484375,3.359375,2.689453125,0.07000732422,1.940429688,0.75,49.84375,19.25,3.470703125,2.19921875,1.009765625,73.5,2.240234375,1.719726563,0.7099609375,5.1484375,0.8598632813,0,49,64,76,23,41.96875,67,66,69,65,61,87,72,83.9375,56.96875,74,51,78,80,66,25.984375,41.96875,16,23,31,28,41.96875,30,66,71
Leon Bailey,25,Left,Att Mid / Wingers,1967,0.1800537109,0.2399902344,0.2199707031,8.328125,2.330078125,18.09375,25.03125,58.84375,8.6875,1.370117188,0.8701171875,0.9599609375,1.280273438,2.83984375,1.830078125,0.09002685547,0.6401367188,0.2700195313,37.1875,20.859375,4.0703125,5.078125,1.830078125,77.9375,3.890625,1.509765625,1.740234375,3.287109375,1.099609375,0,48,69,78,66,70,36,13,13,7,51,11,38,4,32,26.984375,53.03125,7,21,11,41,58,86,72,39,81,26,79,11,80
Danny Ings,30,Right,Forwards,1599,0.3400878906,0.3798828125,0.119934082,5.0703125,2.25,13.8984375,17.453125,33.25,7.76953125,0.83984375,1.009765625,0.3400878906,1.349609375,1.580078125,1.290039063,0,1.0703125,0.2299804688,27.921875,13.7265625,4.83984375,1.91015625,0.83984375,29.265625,1.349609375,0.7900390625,0.6801757813,2.58984375,1.41015625,0,64,59,53,42,40,60,25,35,30,38,50,25,35,11,36,33,69,45,19,21,65,40,42,23,36,30.984375,42,45,45
Philippe Coutinho,30,Right,Att Mid / Wingers,788,0.1099853516,0.1600341797,0.05999755859,7.7734375,2.400390625,21.59375,43.875,111.5,20.5625,0.91015625,3.4296875,0.91015625,5.48046875,2.740234375,2.169921875,0.1099853516,2.169921875,0.4599609375,57.125,24.328125,2.740234375,3.8828125,1.599609375,84.375,2.060546875,3.19921875,0.5698242188,4.6796875,0.3400878906,0,25,37,4,60,73,8,85,65,88,19,88,35,91,28,48,55,84,51,85,68,21,60,60,48,20,93,20,52,32
Jhon Durán,19,,Forwards,1367,0.5297851563,0.5297851563,0.1199951172,6.12109375,3.94921875,16,20.34375,40.15625,8.359375,0.5297851563,0.8598632813,0.330078125,1.379882813,1.83984375,0.7900390625,0,0.8598632813,0.1999511719,34.5625,15.140625,4.8046875,2.109375,0.66015625,45.9375,1.91015625,1.120117188,0.8598632813,2.76953125,3.029296875,0,75,93,51,49,93,34,40,45,36.03125,9.0078125,34,21,25,21.984375,7,34,70,49,61,40,57,67,37,70,76,75,68,71,84
Cameron Archer,21,,Forwards,1368,0.7202148438,0.419921875,0.2800292969,6.91015625,2.4296875,13.796875,21.3125,27.5,11.78125,1.639648438,0.7202148438,0.5297851563,1.25,2.890625,1.969726563,0,0.330078125,0.07000732422,31.25,18.09375,6.12109375,3.029296875,1.379882813,44.09375,1.969726563,1.120117188,1.450195313,1.83984375,0.07000732422,0,99,90.9375,99,80,66,67,48.03125,22,82,94,34,49,24.015625,81,84,37,10,4,41,66,95,82,85,64,70,64,94,8,1
Philip Billing,26,Left,Midfielders,2764,0.2299804688,0.16015625,0.09997558594,3.2890625,1.240234375,18.296875,34.34375,103.0625,14.9765625,0.8500976563,1.599609375,0.2900390625,2.599609375,1.759765625,1.33984375,0.07000732422,2.05078125,1.009765625,45.90625,13.9375,2.310546875,1.530273438,0.8500976563,55,1.200195313,1.009765625,0.1999511719,4.75,1.690429688,0,87,84,54,61,66,63,16,11.9921875,20,43,5,11.9921875,10,23,25,55,47.96875,50,15,45,69,44,50,25,51,44,54,11,90
Dominic Solanke,25,Right,Forwards,2860,0.1899414063,0.2900390625,0.1199951172,5.26171875,2.390625,12.796875,16.765625,34.8125,7.078125,0.66015625,0.6899414063,0.5400390625,1.48046875,1.919921875,1.129882813,0.0299987793,0.4699707031,0.1899414063,31.84375,14.28125,5,3.4609375,1.419921875,54.21875,2.19921875,1.259765625,1.129882813,2.740234375,1.639648438,0,28,42,52,48.03125,47,70,14,40,18,14,28,45,38,31,18,69,16,38,33,31,69,81,79,58,67,64,77,55,53
Ryan Christie,27,Left,Att Mid / Wingers,1834,0.04998779297,0.1400146484,0.1199951172,3.482421875,1.620117188,14,31.953125,99.5,13.6953125,1.469726563,2.109375,0.9301757813,3.482421875,3.240234375,2.359375,0.25,1.669921875,1.280273438,46.125,17.1875,2.990234375,4.21875,1.8203125,71.75,1.909179688,1.669921875,0.6401367188,6.48046875,0.7900390625,0,12,24,31,7,29,89,39,55.03125,41,59,68,36,54,51,58,65,56,97,51,18,28,68,71,28,16,37,26.015625,92,69
Marcus Tavernier,23,Left,Att Mid / Wingers,1743,0.2600097656,0.1600341797,0.1500244141,7.0703125,1.909179688,17.296875,37.375,125.5,14.71875,0.9799804688,1.759765625,0.8295898438,2.890625,2.48046875,1.599609375,0.3601074219,1.700195313,0.4599609375,52.0625,23.234375,3.05078125,4.9609375,2.3203125,104.75,3.4609375,2.220703125,1.080078125,6.3984375,0.8798828125,0,68,38,53,49,48,46,63.03125,74,53,25,58,28,39,19,14,71,58,52,73,58,30.015625,82,91,71,71,66,49,91,72
Dango Ouattara,20,Left,Midfielders,2788,0.2255859375,0.2824707031,0.1800537109,7.68359375,2.517578125,15.5703125,25.109375,74.25,8.6875,1.327148438,1.2890625,1.291015625,2.00390625,3.451171875,1.840820313,0.06451416016,2.224609375,1.028320313,41.5,18.5,4.77734375,4.9375,1.90625,92,3.32421875,1.6484375,1.647460938,4.96875,2.1640625,0,71.625,89.75,68.5625,80.5,91.4375,77.25,6.55078125,8.6640625,5.44140625,54.34375,11.2265625,67.25,8.21875,68.0625,36.46875,43.25,72.125,72.125,17.4375,48.5625,90.125,82.875,76.375,51.125,79.5625,45.03125,95.8125,41.75,96.1875
Kieffer Moore,30,Right,Forwards,1504,0.2379150391,0.3234863281,0.02897644043,4.12890625,1.735351563,11.9453125,24.875,34.8125,8.125,0.537109375,1.140625,0.4167480469,1.794921875,1.438476563,1.140625,0,0.9013671875,0.1790771484,36.90625,13.46875,3.650390625,0.8334960938,0.1189575195,19.921875,0.71484375,0.5952148438,0.1787109375,1.973632813,4.73046875,0,44.75,50.5625,9.9765625,15.625,21.21875,88.3125,64.8125,42.75,34.09375,13.265625,55.9375,33.25,51.84375,14.46875,19.96875,34.625,58.375,21.859375,63.28125,20.0625,20.71875,6.7421875,5.08984375,9.796875,12.4375,16.734375,11.328125,15.4921875,96.1875
Jaidon Anthony,23,Right,Midfielders,1257,0.2099609375,0.1600341797,0.07000732422,5.16015625,1.580078125,19.296875,37.65625,115.25,16.109375,0.8598632813,1.719726563,1.360351563,3.509765625,2.720703125,2,0.2099609375,2.150390625,0.7202148438,51.34375,21.765625,2.359375,3.369140625,1.0703125,73.875,2.220703125,1.790039063,0.9301757813,5.73046875,0.7202148438,0,86,83,39.03125,80.9375,77,55.96875,24,20.015625,36,44,8,83,34,58,55.03125,70,51,27.984375,36,81.9375,70,90,68,50,75,79.0625,91,38,36
Hamed Junior Traorè,22,Right,Att Mid / Wingers,591,0,0.1500244141,0.2700195313,5.484375,1.219726563,20.109375,37.3125,125.3125,13.25,2.58984375,2.58984375,1.0703125,3.962890625,3.962890625,3.197265625,0.759765625,1.6796875,0.3000488281,46.90625,19.34375,3.650390625,2.279296875,0.6098632813,91.375,2.130859375,1.0703125,1.0703125,5.33203125,0.4599609375,0,5,42.96875,91,30.984375,11,33,55,67,33,96,69,40,69,68,89,87.0625,73,35,52,35,53,30.984375,13,57,28,8,64,80,37
Antoine Semenyo,22,,Forwards,1249,0.4299316406,0.3601074219,0.1400146484,7.77734375,2.740234375,14,22.421875,44.6875,7.9296875,0.7202148438,1.23046875,0.5,1.870117188,1.870117188,1.150390625,0,0.580078125,0.3601074219,36.375,20.75,6.26953125,3.029296875,1.58984375,58.59375,2.23046875,1.150390625,1.080078125,2.947265625,3.240234375,0,86,78,75.9375,93,79,63,61.96875,55,45,26.984375,63,45,58.03125,37,28,37,26,66,66,89,96,84.0625,89,80,79,68,84.0625,53.96875,65
Jamal Lowe,28,Right,Forwards,1374,0.1300048828,0.09002685547,0.09002685547,5.171875,0.9799804688,18.90625,18.015625,43.875,6.421875,0.66015625,0.7900390625,0.66015625,1.309570313,1.700195313,1.1796875,0,0.7900390625,0.4599609375,28.4375,14.7421875,3.2109375,2.16015625,0.7900390625,36.875,1.379882813,0.66015625,0.7202148438,3.599609375,0.9799804688,0,18,4,44,40,2,7,27,53,23,16,39,62,30,25,29,37,52,80,20,30,25,60,54,51,47,34,58,70,26
Bryan Mbeumo,23,Left,Att Mid / Wingers,3140,0.2314453125,0.2651367188,0.2309570313,7.2265625,2.06640625,15.9140625,30.859375,99.375,11.8046875,1.60546875,1.1796875,1.34375,2.61328125,3.0078125,1.892578125,0.86328125,0.75,0.3989257813,41.34375,23.0625,3.6953125,2.728515625,1.315429688,56.75,1.944335938,1.029296875,0.779296875,4.06640625,1.143554688,0,60.34375,72.3125,79,52.65625,58.03125,59.875,35.84375,54.5,23.25,62.625,25.375,64.9375,27.84375,38.875,41.1875,90.8125,11.625,40.53125,24.75,57.25,52.96875,32.03125,44.375,10.3671875,17.890625,7.96484375,37.46875,28.984375,79.875
Ivan Toney,26,Right,Forwards,2952,0.4299316406,0.3999023438,0.1600341797,5.03125,2.650390625,16.5,24,62.125,9.1171875,0.8198242188,1.650390625,0.7900390625,2.41015625,2.009765625,1.190429688,0.1199951172,0.7001953125,0.4299316406,37.1875,16.984375,4.76171875,1.650390625,0.4899902344,22.078125,0.4299316406,0.6401367188,0.2399902344,3.140625,3.3203125,0,72,70,70,40,62,19,58,70,43,36,82,69,70,36,28,91,40,79,65,55,64,33,16,9,4,18,11,67,91
Yoane Wissa,26,Right,Att Mid / Wingers,1606,0.3898925781,0.3100585938,0.1400146484,5.828125,1.790039063,14.1015625,19.28125,33.6875,9.1875,0.7299804688,1.1796875,0.4501953125,1.509765625,2.01953125,1.629882813,0,0.9501953125,0.3400878906,28.96875,15.015625,3.470703125,2.470703125,1.120117188,36.875,1.349609375,0.669921875,0.6201171875,3.87109375,1.349609375,0,85,85,47,32,39,87,2,2,9,8,24,4,5,10,16,16,22,28,2,10,43,23,30.984375,1,7,2,25,25,82
Mikkel Damsgaard,22,Right,Midfielders,988,0,0.2399902344,0.1300048828,4.1015625,1.08984375,15,37.0625,130.875,14.2109375,1,3.279296875,0.91015625,4.01171875,2.279296875,1.8203125,0.2700195313,2.8203125,0.91015625,48.1875,15.109375,2.4609375,2.099609375,0.8198242188,52.28125,0.8198242188,0.8198242188,0.09002685547,6.37890625,0.91015625,0,16,93,62,72,53.03125,92,21,30,16,53.96875,49,52.03125,40,43,49,76,85,43,21,55.96875,72,67,47,22,26.015625,24,33,59,55.96875
Kevin Schade,21,Right,Att Mid / Wingers,732,0,0.2600097656,0.1400146484,7.01171875,1.48046875,11.8984375,21.265625,35.03125,7.62109375,0.9799804688,0.9799804688,0.6098632813,1.83984375,3.3203125,1.83984375,0,1.48046875,0.4899902344,35.78125,20.296875,5.8984375,4.30078125,1.48046875,61.59375,2.94921875,1.48046875,1.83984375,4.05859375,3.689453125,0,4,72,44,48,21,97,5,3,3,27,13,10,9,54,31,16,47,58,8,35,88,71,54,18,53,24,81,29,99
Solly March,28,Left,Att Mid / Wingers,2716,0.2299804688,0.2700195313,0.2797851563,11.8359375,2.44921875,16.203125,43.46875,133.5,14.6875,2.220703125,2.08984375,1.719726563,4.4765625,4.640625,3.01953125,0.5,1.759765625,0.7998046875,55,31.890625,4.5703125,3.779296875,1.919921875,101.875,3.650390625,1.58984375,1.559570313,4.140625,0.9599609375,0,62,75,89,94,80,60,84,78,52,92,66,80,74,90,86,79,63,85,80,92,69,55,78,68,74,29,71,30,75
Kaoru Mitoma,25,,Att Mid / Wingers,2318,0.2700195313,0.3100585938,0.25,10.09375,2.01953125,13.203125,37.9375,91.5,19.6875,1.58984375,1.75,1.08984375,3.490234375,4.19140625,3.029296875,0.04000854492,1.709960938,0.66015625,50.9375,27.8125,6.8671875,5.0078125,2.25,148.625,5.546875,3.1796875,3.30078125,4.66015625,0.7001953125,0,70,86,86,86,55,94,65,47,84.0625,64,56,48,55,84.0625,87,36,60,70,69,77,93,84.0625,90,96,96,91.9375,97,51,61.96875
Danny Welbeck,32,Right,Forwards,1854,0.2900390625,0.4597167969,0.2099609375,6.5,3.009765625,14.109375,21.453125,42.34375,11.84375,1.459960938,1.549804688,0.7299804688,2.380859375,3.16015625,2.380859375,0,0.7299804688,0.2399902344,33.625,18.25,5.6796875,2.1796875,1.0703125,42.625,1.5,0.8701171875,0.490234375,1.799804688,1.549804688,0,52.96875,81,82,67,74,57.96875,45,48,70,81,79,62,67,79,86,33,42,50,47,62,79,48,57.96875,45,50,40,21,8,47
Leandro Trossard,28,Right,Att Mid / Wingers,2246,0.3200683594,0.25,0.2700195313,8.8203125,2.19921875,15.703125,39.3125,137.125,14.59375,1.799804688,2.48046875,2.19921875,4.96875,3.412109375,2.48046875,0.2800292969,0.8798828125,0.4799804688,50.65625,28.015625,5.328125,2.640625,1.16015625,92.0625,3.05078125,1.719726563,1.360351563,4.44921875,0.2800292969,0,78,70,88,74,66,72,70,82,51.03125,74,74,95,81,60,66,68,20,54.96875,68,80,76,28,35,60,53.96875,43,66,41,22
Adam Lallana,34,Right,Att Mid / Wingers,722,0.25,0.1099853516,0.1199951172,5.359375,1,13.296875,39.53125,81.75,21.5625,1.75,2.869140625,1.120117188,4.109375,2.740234375,2.740234375,0,1.120117188,0.25,46.5,18.8125,4.109375,0.75,0.3701171875,52.34375,1.25,0.5,0.5,3.119140625,1,0,64,15,35,25,3,93,71,36,90,69,80,51,66,29,77,16,36,19,52,23,60,1,1,7,6,1,16,8,77
Evan Ferguson,18,,Forwards,950,0.5698242188,0.5,0.07000732422,5.48828125,3.41015625,15.203125,21.3125,32.21875,12.4140625,1.040039063,0.3796386719,0.5698242188,1.330078125,2.080078125,1.419921875,0,0.5698242188,0.1898193359,32.59375,14.6875,3.689453125,1.330078125,0.7592773438,29.28125,1.040039063,0.3796386719,0.7592773438,2.369140625,0.849609375,0,91,86,21,49.96875,91,38,43,30.015625,72,60.03125,6,48,31,42,43,33,26,40,36,35,24.984375,14,38,24.984375,18,6,49.96875,35,24.984375
Julio César Enciso,18,,Att Mid / Wingers,806,0.4497070313,0.4497070313,0.1899414063,8.2578125,4.23828125,19.59375,28.8125,61.21875,14.0703125,1.450195313,1.559570313,1.009765625,3.4609375,5.01953125,3.130859375,0,1.450195313,0.4497070313,44.125,25.453125,5.46875,7.03125,3.4609375,113.125,4.3515625,3.240234375,1.900390625,4.01953125,0.669921875,0,88,93,66,64,97,22,25,16,43,56,46,43,53,95,91,16,46,48,40,71,78,97,97,79,86,94,84,28,59.96875
Deniz Undav,26,Both,Forwards,628,0.7202148438,0.6401367188,0.1600341797,5.73046875,3.869140625,13.796875,23.5,46.59375,12.0390625,1.150390625,1.150390625,0.4299316406,1.4296875,3.150390625,2.009765625,0,1,0,33.125,16.625,6.01953125,0.8598632813,0.5698242188,50.15625,1.719726563,0.8598632813,0.5698242188,3.009765625,0.7202148438,0,95.0625,95.0625,71,58.03125,95.0625,62,58.03125,54,71,68,61,31,37.03125,78,75.9375,33,63,3.001953125,41,53,88,5,25,54,56,39,31,61,22
Facundo Buonanotte,18,,Att Mid / Wingers,565,0.1600341797,0.2199707031,0.08001708984,6.69140625,1.75,16.90625,30.90625,83.625,16.09375,0.9599609375,1.4296875,1.588867188,2.0703125,2.23046875,1.91015625,0,0.3200683594,0.6401367188,41.09375,18.3125,3.029296875,3.029296875,1.120117188,67.5625,1.4296875,0.7998046875,0.3200683594,3.98046875,0.3200683594,0,38,61,13,46,38,48,36,38,65,24,38,72,15.0078125,16,40.96875,16,1,67,23,21.015625,29,40,31,24,9,4,9,28,29
Neal Maupay,26,Right,Forwards,1118,0.08001708984,0.3898925781,0.04998779297,4.91015625,2.58203125,14.296875,20.375,17.46875,10.0625,0.5600585938,0.6401367188,0.1600341797,0.8901367188,1.450195313,0.9702148438,0,0.8901367188,0.3999023438,31.15625,15.6171875,3.939453125,1.53125,0.5600585938,24.640625,0.6401367188,0.5600585938,0.2399902344,2.08984375,1.209960938,0,9,65,4,35,58,54.96875,35,2.998046875,54.96875,2.998046875,23,5.99609375,8,9,4,33,53,75,30,45,33,28,25,13,8,14,9,19,38
Kai Havertz,23,Left,Forwards,3188,0.1982421875,0.3562011719,0.1590576172,8.265625,2.6484375,12.96875,32.78125,71.25,16.625,1.408203125,1.750976563,0.9018554688,3.2734375,2.484375,2.0859375,0.0563659668,1.126953125,0.2303466797,45.4375,23.609375,5.98046875,2.337890625,0.8208007813,54.34375,2.146484375,1.30078125,0.9868164063,3.16015625,2.708984375,0,29.40625,51.46875,66,84.625,59.8125,68.4375,86.5,76.3125,92.5625,76.875,84.625,72.25,85.1875,54.96875,71.25,73,73.4375,50.4375,86.9375,87.5,84.5,50.53125,41.46875,59.8125,67.4375,64.25,70.125,64,85.5625
Raheem Sterling,28,Right,Att Mid / Wingers,2520,0.3249511719,0.2678222656,0.1875,9.109375,1.786132813,13.0546875,34.0625,74.3125,16.609375,1.466796875,1.358398438,1.46875,3.39453125,3.146484375,2.498046875,0.03500366211,0.9306640625,0.07507324219,44.9375,27.390625,5.53515625,4.109375,1.5390625,97.1875,3.71875,2.826171875,1.7890625,3.107421875,0.2875976563,0,74,72.5625,63.28125,75.8125,45.53125,93,45.5,25.25,62.28125,52.78125,31.515625,68.3125,41.5,43.28125,63.28125,24.5,23.5,3.751953125,38.28125,72.5625,81,67.3125,59.03125,60.78125,73.8125,82,80.3125,11.5,25.25
Mason Mount,23,Right,Midfielders,2274,0.1159667969,0.1188964844,0.1469726563,6.8125,2.017578125,20.265625,44.4375,138.875,20.421875,1.703125,3.322265625,1.619140625,5.81640625,3.361328125,2.33203125,0.552734375,1.897460938,0.4777832031,55.6875,25.171875,3.12890625,1.977539063,0.8706054688,76.8125,2.33203125,1.94140625,0.5537109375,4.8671875,0.5141601563,0,39.96875,28.3125,58.40625,50.8125,52.46875,25.265625,73.6875,69.5625,77,67.9375,76.5625,70.6875,87.25,50.59375,57.375,76.875,67.9375,39.09375,72.5625,70,41.15625,24.578125,24.578125,38.9375,40.375,54.21875,34.28125,48.84375,45.1875
João Félix,23,Right,Att Mid / Wingers,2384,0.3374023438,0.3940429688,0.1115722656,6.91015625,3.88671875,18.375,33.9375,96.9375,15.78125,0.9809570313,2.263671875,1.397460938,3.927734375,3.548828125,2.115234375,0.1136474609,1.20703125,0.19140625,46.59375,23.03125,3.88671875,4.71875,1.696289063,96.875,3.052734375,3.09765625,0.83203125,2.869140625,0.6801757813,0,70.5625,82.8125,35.46875,54.09375,93.3125,32.59375,57.09375,58.6875,67.5,34.78125,72.375,69.5,70.125,59.21875,45,45.9375,53.0625,29.265625,61.25,64.625,49.3125,81.5625,68.3125,72.125,64.6875,89.1875,41.28125,22.859375,39.8125
Christian Pulisic,24,Right,Att Mid / Wingers,1136,0.1599121094,0.2232666016,0.1300048828,8.234375,2.216796875,17.109375,35,76.0625,15.2890625,1.666992188,1.819335938,0.5546875,3.248046875,3.009765625,2.376953125,0.2384033203,1.032226563,0.3181152344,49.09375,26.6875,5.30859375,4.671875,1.348632813,133.25,4.59765625,3.64453125,1.740234375,3.330078125,0.5551757813,0,37.3125,55.4375,29.1875,64.375,63.15625,48.625,51.5625,32.1875,56.1875,53.0625,54.53125,16.03125,43.09375,36.75,59.71875,32.09375,37.625,35.84375,59.5625,70.75,76.4375,76.6875,53.9375,86.625,83.75,95.3125,75,16.9375,54.625
Mykhailo Mudryk,21,Right,Midfielders,1267,0.2117919922,0.2215576172,0.1199951172,5.68359375,1.846679688,19.03125,27.984375,80.25,13.7109375,1.206054688,1.138671875,1.06640625,2.486328125,2.556640625,1.702148438,0.4245605469,1.278320313,0.07220458984,41.6875,20.453125,3.556640625,5.61328125,1.84765625,110.75,3.689453125,3.125,1.209960938,4.46875,0.3527832031,0,48.28125,79.6875,51.34375,60.03125,64.5,44,16.96875,26.8125,29.109375,54.3125,19.109375,57.25,19.4375,39.8125,31.1875,78.875,30.1875,1.481445313,23.65625,65,71.8125,93.3125,80.5625,72.125,81.0625,89.8125,69.9375,34.3125,33.53125
Noni Madueke,20,Left,Att Mid / Wingers,643,0.1400146484,0.1300048828,0.07000732422,14,1.6796875,15.59375,40.03125,107.9375,19.1875,1.8203125,1.540039063,1.8203125,5.0390625,3.359375,2.66015625,0,1.6796875,0.5600585938,56.6875,32.625,8.6796875,8.8203125,4.6171875,168.375,6.71875,2.939453125,3.640625,4.19921875,0.2800292969,0,36,19,10,98,32,73,72,63,80,75,45,87,82,58.03125,72,16,57,63,84,93,98,99,99,97,98,88,98,32,21
